A***o| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 06 Jul 2019 10:23|width:100%;|Посылка пришла на удивление быстро. Всё целое, всё работает. Хлипковатое конечно, но телефон держит крепко.|
A***v| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 01 Jul 2019 11:52|width:100%;|good product, as described|
B***o| https://www.aliexpress.com/item/-/32950850475.html|32950850475| 01 Jul 2019 11:50|width:80%;||
S***a| https://www.aliexpress.com/item/-/32919126852.html|32919126852| 01 Jul 2019 10:15|width:80%;|The frequency when connected to the radio don't ork strong at times.|
c***n| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 01 Jul 2019 09:44|width:20%;|came broken!! i want a new one!|
S***r | https://www.aliexpress.com/item/-/32960780064.html|32960780064| 01 Jul 2019 09:15|width:80%;|Маркий очень. Полоски по бокам непонятно вообще за чем.|
M***i| https://www.aliexpress.com/item/-/32911738915.html|32911738915| 01 Jul 2019 09:14|width:100%;||
V***v| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 01 Jul 2019 09:03|width:100%;|Пришел за 10 дней. Пробую, чуть низковат в Каптюр.|
K***i| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 01 Jul 2019 08:39|width:100%;||
A***v | https://www.aliexpress.com/item/-/32899754676.html|32899754676| 01 Jul 2019 08:20|width:100%;|Коректен продавач. Да се надявам, че като поставям стойката няма да се счупи.|
T***a| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 01 Jul 2019 08:17|width:100%;|запах жуткий! надеюсь выветрится. на вид жидкий какой то. посмотрим сколько прослужит|
N***v | https://www.aliexpress.com/item/-/32851512940.html|32851512940| 01 Jul 2019 07:46|width:100%;||
D***a| https://www.aliexpress.com/item/-/32870526812.html|32870526812| 01 Jul 2019 07:34|width:100%;||
O***i| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 01 Jul 2019 06:56|width:80%;|the product arrived broken|
M***v| https://www.aliexpress.com/item/-/32923859223.html|32923859223| 01 Jul 2019 06:41|width:100%;|Отличное зарядное устройство. Только очень короткий контакт питания, для жигулей не подойдёт. Быстрая зарядка работает!|
I***s | https://www.aliexpress.com/item/-/32899754676.html|32899754676| 01 Jul 2019 06:15|width:100%;||
i***n | https://www.aliexpress.com/item/-/32899754676.html|32899754676| 01 Jul 2019 06:12|width:100%;|до Уфы быстро 2,5 недели хороший держак мне нравится|
M***v| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 01 Jul 2019 05:57|width:20%;|Очень хлипкая конструкция, 10 дюймовый планшет с трудом удалось впихнуть, мягкие уплотнения сразу отвалились, очень дешёвый материал, шарнир вообще не зажимается, прокручивается, чтобы не слетало крепление к опоре надо намертво заматывать скотчем|
M***n| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 01 Jul 2019 05:49|width:100%;||
L***u| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 01 Jul 2019 05:46|width:100%;|The package has lost in trasit, but the seller agreed to refund the money. Top seller, I recommend.|
S***c| https://www.aliexpress.com/item/-/32856844088.html|32856844088| 01 Jul 2019 05:45|width:100%;||
C***r | https://www.aliexpress.com/item/-/32876951158.html|32876951158| 01 Jul 2019 05:44|width:100%;||
t***i| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 01 Jul 2019 05:26|width:100%;||
d***w| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 01 Jul 2019 05:22|width:100%;||
J***o | https://www.aliexpress.com/item/-/32942094527.html|32942094527| 01 Jul 2019 04:23|width:100%;||
D***k| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 01 Jul 2019 03:59|width:100%;||
R***r| https://www.aliexpress.com/item/-/32919126852.html|32919126852| 01 Jul 2019 03:48|width:80%;|Товар получил, по внешнему виду повреждений нет. В работе проверю, дополнительно напишу насколько отвечает описанию.|
s***s| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 01 Jul 2019 03:46|width:100%;||
H***n| https://www.aliexpress.com/item/-/32970973907.html|32970973907| 01 Jul 2019 03:32|width:60%;|I ordered blue, but green received but oke!|
k***n| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 01 Jul 2019 03:29|width:100%;||
D***n| https://www.aliexpress.com/item/-/32919126852.html|32919126852| 01 Jul 2019 03:13|width:100%;||
I***a| https://www.aliexpress.com/item/-/32950850475.html|32950850475| 01 Jul 2019 03:06|width:80%;||
N***S| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 01 Jul 2019 02:08|width:40%;|Мега быстрая доставка-2 недели! Крепление хорошее, НО! Минус в том, что под 7 дюймов не подходит! Планшет постоянно выпадает, а горизонтально вообще не фиксируется. Очень жаль....|
d***n| https://www.aliexpress.com/item/-/32923787955.html|32923787955| 01 Jul 2019 01:53|width:100%;||
I***s | https://www.aliexpress.com/item/-/32919126852.html|32919126852| 01 Jul 2019 01:33|width:100%;||
f***h| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 01 Jul 2019 00:55|width:100%;||
a***a| https://www.aliexpress.com/item/-/32919126852.html|32919126852| 01 Jul 2019 00:46|width:100%;||
P***i| https://www.aliexpress.com/item/-/33004657555.html|33004657555| 01 Jul 2019 00:34|width:100%;||
P***i| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 01 Jul 2019 00:34|width:100%;||
D***y| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 01 Jul 2019 00:19|width:80%;||
D***g| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 01 Jul 2019 00:13|width:100%;|Great|
V***v| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 30 Jun 2019 23:57|width:100%;|на вид не плохая, продавца рекомендую|
A***r| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 30 Jun 2019 23:55|width:80%;|arrived in good order|
M***c| https://www.aliexpress.com/item/-/32919126852.html|32919126852| 30 Jun 2019 23:47|width:80%;||
s***o| https://www.aliexpress.com/item/-/32856844088.html|32856844088| 30 Jun 2019 23:41|width:100%;||
A***e| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 30 Jun 2019 23:22|width:100%;||
P***o| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 30 Jun 2019 22:40|width:100%;||
F***z| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 30 Jun 2019 22:39|width:80%;|Looks ok. Shipping took twice as long as normal. Upon inspection when it arrived, something cracked inside it and fell. It grips phone great but not sure what it was that broke.|
D***n | https://www.aliexpress.com/item/-/32909704204.html|32909704204| 30 Jun 2019 22:29|width:100%;||
Y***g| https://www.aliexpress.com/item/-/32945452346.html|32945452346| 30 Jun 2019 21:09|width:100%;|Zoals foto en omschrijving|
n***n| https://www.aliexpress.com/item/-/32919126852.html|32919126852| 30 Jun 2019 20:05|width:80%;|The Bluetooth connection is quick and excellent but with any other device, the volume is very low when connected to FM radio.|
S***n| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 30 Jun 2019 19:58|width:100%;||
K***p| https://www.aliexpress.com/item/-/32990168748.html|32990168748| 30 Jun 2019 19:28|width:100%;||
A***i| https://www.aliexpress.com/item/-/32942094527.html|32942094527| 30 Jun 2019 18:42|width:100%;|Excellent product very satisfied|
m***o| https://www.aliexpress.com/item/-/32970973907.html|32970973907| 30 Jun 2019 18:34|width:100%;|El producto es tal y como lo describen. El auto sleep funciona bien y el material corresponde al precio pagado.|
G***y | https://www.aliexpress.com/item/-/32856844088.html|32856844088| 30 Jun 2019 15:12|width:80%;||
C***o| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 30 Jun 2019 14:57|width:100%;||
F***d| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 30 Jun 2019 14:35|width:80%;|Its great|
D***a| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 30 Jun 2019 14:18|width:80%;||
n***u| https://www.aliexpress.com/item/-/32876951158.html|32876951158| 30 Jun 2019 14:10|width:40%;|Reçu rapidement mais produit fragile je le trouve pas bien du tout à fonctionner 3 jours et ensuite une des branches du système c est détachée donc franchement je ne le recommande pas|
f***n| https://www.aliexpress.com/item/-/32911738915.html|32911738915| 30 Jun 2019 14:03|width:100%;|correspond à ma commande, très bien emballé.|
J***y| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 30 Jun 2019 12:35|width:100%;||
L***k | https://www.aliexpress.com/item/-/32899754676.html|32899754676| 30 Jun 2019 12:23|width:80%;|There is no rubber band on the lower arm of the holder (see the picture), so the holder is not well fixed on the dash board. I was forced to fix it somehow my way.|
K***o| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 30 Jun 2019 12:20|width:100%;||
g***s| https://www.aliexpress.com/item/-/32856844088.html|32856844088| 30 Jun 2019 11:22|width:100%;||
A***v| https://www.aliexpress.com/item/-/32856844088.html|32856844088| 30 Jun 2019 10:29|width:60%;|Отсутствует резиновая накладка на зажиме держателя. Что позволяет, подставке под телефон, скользить и сваливаться с приборной панели автомобиля. Отсутствие важной детали хорошо видно, при сравнении, рекламного постера и моих фотографий. Придется самому доработать девайс.|
A***v| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 30 Jun 2019 10:29|width:60%;|Отсутствует резиновая накладка на зажиме держателя. Что позволяет, подставке под телефон, скользить и сваливаться с приборной панели автомобиля. Отсутствие важной детали хорошо видно, при сравнении, рекламного постера и моих фотографий. Придется самому доработать девайс.|
S***h| https://www.aliexpress.com/item/-/32874642353.html|32874642353| 30 Jun 2019 10:17|width:100%;|Отлично, всё держит, всё крутитсо, вертится, за эти деньги супер|
M***n| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 30 Jun 2019 10:14|width:80%;||
M***n| https://www.aliexpress.com/item/-/32899754676.html|32899754676| 30 Jun 2019 10:11|width:100%;||
